anio,aglomerado,media_ingreso,mediana_ingreso,p10_ingreso,p25_ingreso,p75_ingreso,p90_ingreso
2016,Gran San Juan,8064.365529289957,6000.0,2400.0,4000.0,10000.0,16000.0
2017,Gran San Juan,11313.726708273183,8500.0,3000.0,5400.0,14100.0,22500.0
2018,Gran San Juan,14570.83515142161,10500.0,4000.0,7000.0,18000.0,29500.0
2019,Gran San Juan,19866.731411820892,15000.0,5400.0,9600.0,25000.0,40000.0
2020,Gran San Juan,27951.538129890632,21290.0,8000.0,14800.0,34000.0,50000.0
2021,Gran San Juan,39018.92147703009,30000.0,10000.0,18129.0,48000.0,75000.0
2022,Gran San Juan,65706.12307138136,50000.0,20000.0,32000.0,80000.0,130000.0
2023,Gran San Juan,138655.24136928032,100000.0,31100.0,60000.0,180000.0,300000.0
2024,Gran San Juan,426300.8973443439,300000.0,94000.0,200000.0,500000.0,851000.0
2025,Gran San Juan,639072.7587531813,500000.0,178000.0,300000.0,800000.0,1200000.0
2016,Río Gallegos,17153.03292965811,15000.0,5000.0,9000.0,22000.0,30000.0
2017,Río Gallegos,21039.760025413725,18000.0,6000.0,11000.0,29000.0,40000.0
2018,Río Gallegos,25817.764963334397,20000.0,7000.0,12000.0,33000.0,50000.0
2019,Río Gallegos,33696.06117372158,29000.0,7500.0,15000.0,45000.0,64000.0
2020,Río Gallegos,45110.12058934102,40000.0,10000.0,23000.0,59000.0,80000.0
2021,Río Gallegos,62101.87043942436,50000.0,15000.0,30000.0,80000.0,120000.0
2022,Río Gallegos,107841.47049274159,90000.0,26000.0,50000.0,140000.0,204000.0
2023,Río Gallegos,224780.7547563497,180000.0,50000.0,100000.0,300000.0,448000.0
2024,Río Gallegos,648307.3650980244,500000.0,130000.0,280000.0,850000.0,1300000.0
2025,Río Gallegos,1026090.6981702347,900000.0,300000.0,500000.0,1300000.0,2000000.0
