anio,aglomerado,media_ingreso,mediana_ingreso,p10_ingreso,p25_ingreso,p75_ingreso,p90_ingreso,ipc,media_real,mediana_real,p10_real,p25_real,p75_real,p90_real
2016,Gran San Juan,7638.310121091329,5000.0,2500.0,4000.0,9000.0,15000.0,100,7638.310121091329,5000.0,2500.0,4000.0,9000.0,15000.0
2017,Gran San Juan,10601.448248914148,8000.0,3000.0,5800.0,13000.0,20000.0,121,8761.527478441445,6611.570247933884,2479.3388429752067,4793.388429752066,10743.801652892562,16528.92561983471
2018,Gran San Juan,13547.988861709455,10000.0,4000.0,7000.0,17000.0,25000.0,158,8574.67649475282,6329.113924050634,2531.6455696202534,4430.379746835443,10759.493670886077,15822.784810126583
2019,Gran San Juan,18358.17578879387,14700.0,5640.0,9500.0,23600.0,35000.0,215,8538.686413392497,6837.209302325581,2623.2558139534885,4418.604651162791,10976.744186046511,16279.06976744186
2020,Gran San Juan,27521.343054342015,20000.0,8000.0,13000.0,30000.0,45000.0,281,9794.072261331678,7117.437722419929,2846.9750889679717,4626.334519572954,10676.156583629894,16014.234875444841
2021,Gran San Juan,34690.80018027117,27946.0,11000.0,18000.0,42500.0,64000.0,368,9426.847875073689,7594.021739130434,2989.1304347826085,4891.304347826087,11548.91304347826,17391.304347826084
2022,Gran San Juan,53747.411956595875,42000.0,19200.0,30200.0,68000.0,100000.0,558,9632.152680393527,7526.881720430108,3440.8602150537636,5412.186379928316,12186.379928315411,17921.14695340502
2023,Gran San Juan,115869.87335354972,84000.0,32000.0,60000.0,150000.0,220000.0,1044,11098.646872945375,8045.977011494253,3065.1340996168583,5747.126436781609,14367.816091954024,21072.796934865903
2024,Gran San Juan,402306.63867336564,282043.0,100000.0,200000.0,500000.0,800000.0,2400,16762.776611390233,11751.791666666666,4166.666666666666,8333.333333333332,20833.333333333332,33333.33333333333
2025,Gran San Juan,643065.6534441832,500000.0,200000.0,340000.0,800000.0,1199000.0,4300,14955.015196376353,11627.906976744185,4651.162790697675,7906.976744186047,18604.6511627907,27883.720930232557
2016,Río Gallegos,15026.597913666861,13000.0,5000.0,8000.0,20000.0,28000.0,100,15026.597913666861,13000.0,5000.0,8000.0,20000.0,28000.0
2017,Río Gallegos,19464.310455133833,16000.0,5500.0,10000.0,25000.0,36000.0,121,16086.206987713911,13223.140495867769,4545.454545454546,8264.462809917355,20661.15702479339,29752.06611570248
2018,Río Gallegos,22043.190501794717,19200.0,6000.0,10000.0,29500.0,43000.0,158,13951.38639354096,12151.898734177215,3797.46835443038,6329.113924050634,18670.88607594937,27215.189873417723
2019,Río Gallegos,29795.213348553592,26750.0,8000.0,14000.0,38000.0,58000.0,215,13858.238766769113,12441.860465116279,3720.9302325581393,6511.627906976744,17674.418604651164,26976.74418604651
2020,Río Gallegos,40783.33786441462,34000.0,10000.0,22000.0,50000.0,80000.0,281,14513.643368119083,12099.64412811388,3558.7188612099644,7829.181494661922,17793.594306049825,28469.750889679715
2021,Río Gallegos,53717.14926182929,47000.0,11000.0,25000.0,75000.0,100000.0,368,14597.051429844914,12771.739130434782,2989.1304347826085,6793.478260869565,20380.434782608696,27173.91304347826
2022,Río Gallegos,96922.3342650422,80000.0,26000.0,47000.0,125000.0,190000.0,558,17369.59395430864,14336.917562724015,4659.4982078853045,8422.939068100359,22401.433691756272,34050.179211469534
2023,Río Gallegos,182089.32704019488,150000.0,48000.0,85000.0,240000.0,350000.0,1044,17441.506421474605,14367.816091954024,4597.701149425287,8141.76245210728,22988.505747126437,33524.904214559385
2024,Río Gallegos,489464.9624405948,400000.0,120000.0,250000.0,700000.0,900000.0,2400,20394.373435024783,16666.666666666664,5000.0,10416.666666666666,29166.666666666664,37500.0
2025,Río Gallegos,958241.588702112,900000.0,300000.0,500000.0,1200000.0,1800000.0,4300,22284.688109351442,20930.232558139534,6976.7441860465115,11627.906976744185,27906.976744186046,41860.46511627907
